都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,郵便番号,区,所在地1,所在地2,緯度,経度,電話番号,設置主体,定員
221309,73205,静岡県,浜松市,聖隷三方原病院院内保育園さくら保育園,セイレイミカタハラビョウインインナイホイクエンサクラホイクエン,4311304,浜名区,浜松市浜名区細江町中川7220-14,,34.790037,137.695313,,社会福祉法人聖隷福祉事業団,20
221309,73206,静岡県,浜松市,浜松赤十字病院つくし保育園,ハママツセキジュウジビョウインツクシホイクエン,4348533,浜名区,浜松市浜名区小林1088-1,,34.806123,137.790060,,浜松赤十字病院,35
221309,73207,静岡県,浜松市,天竜病院ひまわり保育園,テンリュウビョウインヒマワリホイクエン,4348511,浜名区,浜松市浜名区於呂4201-2,,34.854835,137.799149,,独立行政法人国立病院機構天竜病院,35
221309,73301,静岡県,浜松市,はままつ森のようちえん　森のこどもたち,ハママツモリノヨウチエンモリノコドモタチ,4313425,天竜区,浜松市天竜区青谷1402-2,,34.870223,137.782005,(090)8050-4746,林桃,26
221309,73302,静岡県,浜松市,矢崎おひさま保育園,ヤザキオヒサマホイクエン,4313393,天竜区,浜松市天竜区二俣町南鹿島23,,34.841765,137.808267,,矢崎エナジーシステム株式会社　天竜工場,24
221309,73303,静岡県,浜松市,ヤクルト天竜中央センター保育所,ヤクルトテンリュウチュウオウセンターホイクジョ,4313303,天竜区,浜松市天竜区山東2861-2,,34.875508,137.820995,,西静岡ヤクルト販売株式会社,18
221309,77101,静岡県,浜松市,株式会社アイケア　ベビーシッター　あいあい,カブシキガイシャアイケアベビーシッターアイアイ,4338117,中央区,浜松市中央区高丘東三丁目38-5,,34.759570,137.720340,(053)414-5577,株式会社アイケア,6
221309,77102,静岡県,浜松市,ぴっぴシッター,ピッピシッター,4338124,中央区,浜松市中央区泉一丁目10-16,桜鈴館103,34.740696,137.722153,(090)9263-2677,特定非営利活動法人はままつ子育てネットワークぴっぴ,8
221309,77103,静岡県,浜松市,"baby＆kids sitter more",ベビーアンドキッズシッターモア,4328047,中央区,浜松市中央区神田町,,-,-,(090)3838-2168,門名里紗,2
221309,77104,静岡県,浜松市,Ohana～sitter～,オハナシッター,4300907,中央区,浜松市中央区高林一丁目,,-,-,(090)5860-9699,杉浦沙紀,3
221309,77105,静岡県,浜松市,有限会社ママ・アンド・パパス,ユウゲンガイシャママ・アンド・パパス,4350001,中央区,浜松市中央区上石田町2276,,34.750792,137.784009,(053)466-5513,有限会社ママ・アンド・パパス,4
221309,77106,静岡県,浜松市,おやこ広場＆ベビー・キッズシッター　にじいろ,オヤコヒロバアンドベビー・キッズシッター　ニジイロ,4300854,中央区,浜松市中央区瓜内町,,-,-,(070)9079-2713,田中香里,3
221309,77107,静岡県,浜松市,"Coral Leaf",コーラルリーフ,4338104,中央区,浜松市中央区東三方町,,-,-,,西田　花菜,1
221309,77108,静岡県,浜松市,Smile＆hag,スマイルアンドハグ,4311402,浜名区,浜松市浜名区三ヶ日町都筑,,-,-,,藤原　育代,1
221309,78001,静岡県,浜松市,キッズライン（門名　里紗）,キッズライン,4328047,中央区,浜松市中央区神田町,,-,-,,門名里紗,1
221309,78002,静岡県,浜松市,キッズライン　杉浦　沙紀,キッズライン,4300907,中央区,浜松市中央区高林一丁目,,-,-,,杉浦沙紀,1
221309,78003,静岡県,浜松市,キズナシッター　杉浦　沙紀,キズナシッター,4300907,中央区,浜松市中央区高林一丁目,,-,-,,杉浦沙紀,1
221309,78004,静岡県,浜松市,キッズライン（鈴木歩美）,キッズライン,4300803,中央区,浜松市中央区植松町,,-,-,,鈴木歩美,1
221309,78005,静岡県,浜松市,ケアファインダー　Juliana,ケアファインダー,4350001,中央区,浜松市中央区上石田町,,-,-,,"Nishime Gasparoti Juliana Akiko",2
221309,78006,静岡県,浜松市,キッズライン（鈴木　景子）,キッズライン,4328061,中央区,浜松市中央区入野町,,-,-,,鈴木景子,1
221309,78007,静岡県,浜松市,キッズライン（大村　典絵）,キッズライン,4311209,中央区,浜松市中央区舘山寺町,,-,-,,大村典絵,1
221309,78008,静岡県,浜松市,キッズライン（小出　恵理子）,キッズライン,4338103,中央区,浜松市中央区豊岡町,,-,-,,小出恵理子,1
221309,78010,静岡県,浜松市,キッズライン（軍司　夏巳）,キズナシッター,4313311,天竜区,浜松市天竜区二俣町阿蔵,,-,-,,軍司　夏巳,1
221309,78011,静岡県,浜松市,キッズライン（軍司　夏巳）,キッズライン,4313311,天竜区,浜松市天竜区二俣町阿蔵,,-,-,,軍司　夏巳,1
221309,78012,静岡県,浜松市,キズナシッター（浜松ベビーシッター　にじのたね）,キズナシッター,4300926,中央区,浜松市中央区砂山町,,-,-,,小山　千尋,1
221309,78013,静岡県,浜松市,キッズライン（佐野由美）,キッズライン（おひさま）,4311304,浜名区,浜松市浜名区細江町中川,,-,-,,佐野　由美,1
