都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,郵便番号,区,所在地1,所在地2,緯度,経度,電話番号,設置主体,定員
221309,72112,静岡県,浜松市,ひろば保育園　ほそじま,ヒロバホイクエンホソジマ,4350045,中央区,浜松市中央区細島町11-3,,34.723514,137.751328,(053)467-6789,株式会社ひろば,12
221309,72113,静岡県,浜松市,Papilles保育園,パピーユホイクエン,4338122,中央区,浜松市中央区上島三丁目27-2,,34.740502,137.747650,(053)443-7755,"株式会社Les Papilles",12
221309,72114,静岡県,浜松市,にこにこ保育園,ニコニコホイクエン,4300907,中央区,浜松市中央区高林四丁目3-10,,34.728295,137.733401,(053)522-8787,株式会社杏林堂グループ・ホールディングス,12
221309,72115,静岡県,浜松市,アソカ学園　駅南ナーサリー,アソカガクエン　エキナンナーサリー,4300923,中央区,浜松市中央区北寺島町160-1,,34.701790,137.740661,(053)401-2552,学校法人無憂樹学園,19
221309,72116,静岡県,浜松市,おとのいえ,オトノイエ,4308650,中央区,浜松市中央区中沢町10-1,,34.718232,137.731534,(053)479-1650,ヤマハ株式会社,50
221309,72117,静岡県,浜松市,いろにこ保育園,イロニコホイクエン,4338113,中央区,浜松市中央区小豆餅三丁目23-1,,34.755412,137.728227,(053)414-1625,特定非営利活動法人　みんなの家,19
221309,72118,静岡県,浜松市,パンダ保育園,パンダホイクエン,4338123,中央区,浜松市中央区幸二丁目44-13,,34.736454,137.731780,(053)488-9180,株式会社LIO,15
221309,72119,静岡県,浜松市,ヒーローズ保育園　上島,ヒーローズホイクエンカミジマ,4338122,中央区,浜松市中央区上島五丁目23-30,,34.745389,137.746472,(053)473-1125,株式会社ヒーローズホールディングス,40
221309,72120,静岡県,浜松市,ひだまり保育園,ヒダマリホイクエン,4350011,中央区,浜松市中央区国吉町339-2,,34.721252,137.796422,(053)453-4560,セキスイハイム東海株式会社,12
221309,72121,静岡県,浜松市,都市型保育園ポポラー浜松プラザフレスポ園,トシガタホイクエンポポラーハママツプラザフレスポエン,4350048,中央区,浜松市中央区上西町1020-1,浜松プラザフレスポ2階,34.725716,137.764200,(053)467-6060,株式会社タスク・フォース,40
221309,72122,静岡県,浜松市,キッズハウスおおかば,キッズハウスオオカバ,4350014,中央区,浜松市中央区大蒲町120-1,,34.715381,137.769093,(053)463-6310,合同会社元気いっぱい夢いっぱい,19
221309,72123,静岡県,浜松市,さんくすキッズ保育園,サンクスキッズホイクエン,4350006,中央区,浜松市中央区下石田町1782-1,,34.736892,137.788876,(053)466-1203,株式会社共立スタッフバンク,12
221309,72124,静岡県,浜松市,きらきら保育園,キラキラホイクエン,4350048,中央区,浜松市中央区上西町56-12,,34.723152,137.758168,(053)424-7924,"株式会社Beauty Story",19
221309,72125,静岡県,浜松市,半田山こもれび保育園,ハンダヤマコモレビホイクエン,4313125,中央区,浜松市中央区半田山三丁目53-5,,34.774180,137.737025,(053)589-4646,ユービーサポート株式会社,19
221309,72126,静岡県,浜松市,キッズハウスなかだ,キッズハウスナカダ,4350057,中央区,浜松市中央区中田町315-5,,34.734896,137.756146,(053)424-8116,合同会社元気いっぱい夢いっぱい,12
221309,72127,静岡県,浜松市,ヒーローズ保育園　浜松東,ヒーローズホイクエンハママツヒガシ,4300802,中央区,浜松市中央区将監町23-3,ユトリロ将監1階,34.714931,137.755969,(053)544-6062,株式会社ヒーローズホールディングス,40
221309,72128,静岡県,浜松市,ひろば保育園　ありたま,ヒロバホイクエンアリタマ,4313122,中央区,浜松市中央区有玉南町1120,,34.755252,137.745637,(053)432-6622,株式会社ひろば,12
221309,72129,静岡県,浜松市,てんとうむし東山保育園,テントウムシヒガシヤマホイクエン,4311102,中央区,浜松市中央区大山町2957-1,,34.773315,137.681411,(053)401-3011,社会福祉法人慶成会,60
221309,72130,静岡県,浜松市,遠鉄グループ保育園かんざんじ,エンテツグループホイクエンカンザンジ,4311209,中央区,浜松市中央区舘山寺町2003-2,,34.762725,137.614038,(053)454-2301,遠州鉄道株式会社,19
221309,72131,静岡県,浜松市,ハミングバード保育園,ハミングバードホイクエン,4350022,中央区,浜松市中央区鶴見町447,,34.707349,137.786129,(053)425-8810,株式会社エイトハンドレッド,12
221309,72201,静岡県,浜松市,"医療法人社団誠心会 浜北さくら台病院保育施設",イリョウホウジンシャダンセイシンカイハマキタサクラダイビョウインホイクシセツ,4340006,浜名区,浜松市浜名区四大地9-68,,34.837999,137.759317,(053)582-2311,医療法人社団誠心会,12
221309,72202,静岡県,浜松市,企業主導型保育園ふわふわ,キギョウシュドウガタホイクエンフワフワ,4340038,浜名区,浜松市浜名区貴布祢418-3,,34.795597,137.786585,(053)544-6555,学校法人北浜学園,12
221309,72203,静岡県,浜松市,エトワール保育園,エトワールホイクエン,4340035,浜名区,浜松市浜名区寺島3270-7,,34.782878,137.788607,(053)582-6444,"株式会社Les Papilles",12
221309,72204,静岡県,浜松市,浜名愛ノ宮保育園,ハマナアイノミヤホイクエン,4340042,浜名区,浜松市浜名区小松465-3,,34.790632,137.778439,(053)585-7311,株式会社愛ノ宮,124
