都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,郵便番号,区,所在地1,所在地2,緯度,経度,電話番号,設置主体,定員,分類,開所時間,閉所時間,保育標準開始時間,保育標準終了時間,保育短時間開始時間,保育短時間終了時間,一時預かり事業の種類,基本的な利用できる曜日,基本的な利用できる時間（開始時間）,基本的な利用できる時間（終了時間）,基本的な利用できる歳児,予約を開始する概ねの時期,利用料、免除基準,備考（一時預かり）,募集人数・申込人数の該当月,募集人数（0歳）,募集人数（1歳）,募集人数（2歳）,募集人数（3歳）,募集人数（4歳）,募集人数（5歳）,申込人数（0歳）,申込人数（1歳）,申込人数（2歳）,申込人数（3歳）,申込人数（4歳）,申込人数（5歳）,申込数集計日,備考
221309,21111,静岡県,浜松市,小豆餅ゆすらうめこども園,アズキモチユスラウメコドモエン,4338113,中央区,浜松市中央区小豆餅四丁目18-2,,34.754470,137.730061,(053)414-0001,（福）住吉会,110,幼保連携型認定こども園,7:00,19:00,7:00,18:00,8:30,16:30,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（6か月から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,13,6,6,1,0,0,2025-12-19,
221309,21112,静岡県,浜松市,上池さくらこども園,カミイケサクラコドモエン,4328011,中央区,浜松市中央区城北二丁目25-43,,34.724181,137.723562,(053)474-1125,（福）住吉会,120,幼保連携型認定こども園,7:00,19:00,7:00,18:00,8:30,16:30,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（6か月から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね1週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,2,2,2,0,6,2,2,0,0,0,2025-12-19,
221309,21113,静岡県,浜松市,音の森こども園,オトノモリコドモエン,4328002,中央区,浜松市中央区富塚町3657-1,,34.728576,137.696527,(053)488ｰ5116,（福）どれみ会,80,幼保連携型認定こども園,7:00,19:00,7:00,18:00,8:00,16:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（6か月から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,28,3,3,1,3,1,2025-12-19,
221309,21114,静岡県,浜松市,浜松中央こども園,ハママツチュウオウコドモエン,4300949,中央区,浜松市中央区尾張町127-7,,34.711873,137.730485,(053)453-0249,（学）倉橋学園,80,幼保連携型認定こども園,7:30,18:30,7:30,18:30,8:00,16:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",7:30,18:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",随時,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,14,5,4,0,1,0,2025-12-19,
221309,21115,静岡県,浜松市,たかい丘こども園,タカイオカコドモエン,4338119,中央区,浜松市中央区高丘北二丁目25-21,,34.761980,137.704451,(053)437-6530,（福）瑞穂会,120,幼保連携型認定こども園,7:00,18:30,7:00,18:00,8:00,16:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",8:00,16:00,"1歳児,2歳児,3歳児,4歳児,5歳児",随時,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,30,8,2,1,0,0,2025-12-19,
221309,21116,静岡県,浜松市,天林寺こども園,テンリンジコドモエン,4300905,中央区,浜松市中央区下池川町27-1,,34.715981,137.729488,(053)473-7718,（福）真徳会,120,幼保連携型認定こども園,7:15,19:00,7:15,18:15,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（8か月から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね1週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,1,0,17,5,0,0,0,1,2025-12-19,
221309,21117,静岡県,浜松市,花園こども園,ハナゾノコドモエン,4328038,中央区,浜松市中央区西伊場町77-1,,34.698379,137.705467,(053)488-8755,（学）興福寺学園,120,幼保連携型認定こども園,7:00,18:30,7:00,18:00,8:00,16:00,実施していない,,,,,,,,令和8年2月,0,0,1,0,0,0,37,25,1,3,0,1,2025-12-19,
221309,21118,静岡県,浜松市,まつばこども園,マツバコドモエン,4338122,中央区,浜松市中央区上島一丁目26-14,,34.739400,137.743182,(053)476-2121,（福）松寿会,60,幼保連携型認定こども園,7:00,18:30,7:00,18:00,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"1歳児,2歳児,3歳児,4歳児,5歳児",随時,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,31,13,6,5,1,1,2025-12-19,
221309,21119,静岡県,浜松市,葵ヶ丘こども園,アオイガオカコドモエン,4338117,中央区,浜松市中央区高丘東三丁目54-18,,34.763532,137.717268,(053)437-7952,（福）みのり会,130,幼保連携型認定こども園,7:00,19:00,7:00,18:00,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日",8:00,17:00,"0歳児（12か月から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,23,6,4,3,0,0,2025-12-19,
221309,21120,静岡県,浜松市,中央ながかみこども園,チュウオウナガカミコドモエン,4300856,中央区,浜松市中央区中島二丁目7-8,,34.701625,137.746419,(053)467-6600,（福）七恵会,120,幼保連携型認定こども園,7:00,18:30,7:00,18:00,8:00,16:00,実施していない,,,,,,,,令和8年2月,0,0,0,1,0,0,7,0,1,0,0,0,2025-12-19,
221309,21105,静岡県,浜松市,りょうけさくらこども園,リョウケサクラコドモエン,4300852,中央区,浜松市中央区領家三丁目23-13,,34.693829,137.754721,(053)463-8211,（福）明生会,150,幼保連携型認定こども園,7:00,18:30,7:00,18:00,8:00,16:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,18:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",随時,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,15,3,3,0,1,0,2025-12-19,
221309,21160,静岡県,浜松市,愛恵こどもの園,アイケイコドモノソノ,4328023,中央区,浜松市中央区鴨江三丁目3-37,,34.705988,137.716767,(053)453-5526,（福）浜松乳幼児福祉会,80,幼保連携型認定こども園,7:00,18:30,7:00,18:00,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",9:00,16:00,"0歳児（5か月から）,1歳児,3歳児,4歳児,5歳児",おおむね1か月前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,9,6,0,1,0,0,2025-12-19,
221309,21121,静岡県,浜松市,聖隷こども園ひかりの子,セイレイコドモエンヒカリノコ,4350052,中央区,浜松市中央区天王町1896,,34.740964,137.767397,(053)421-6822,（福）聖隷福祉事業団,220,幼保連携型認定こども園,7:00,19:00,7:00,18:00,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,11,8,5,1,0,0,2025-12-19,
221309,21122,静岡県,浜松市,いずみこども園,イズミコドモエン,4350056,中央区,浜松市中央区小池町710,,34.751661,137.760293,(053)434-4411,（福）いずみ会,130,幼保連携型認定こども園,7:00,19:00,7:00,18:00,8:00,16:00,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（3か月から）,2歳児,3歳児,4歳児,5歳児",おおむね3週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,12,4,1,0,0,0,2025-12-19,
221309,21123,静岡県,浜松市,市野与進こども園,イチノヨシンコドモエン,4350051,中央区,浜松市中央区市野町2636,,34.747838,137.767207,(053)423-3535,（福）松渓会,160,幼保連携型認定こども園,7:00,19:00,7:00,18:00,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（8か月から）,1歳児,2歳児",おおむね1週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,27,6,4,2,0,0,2025-12-19,
221309,21124,静岡県,浜松市,まるづかこども園,マルヅカコドモエン,4350046,中央区,浜松市中央区丸塚町287-1,,34.727744,137.760012,(053)465-2525,（福）瑞陵会,120,幼保連携型認定こども園,7:00,18:30,7:00,18:00,8:30,16:30,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",8:00,17:00,"0歳児（5か月から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,18,7,6,0,0,0,2025-12-19,
221309,21125,静岡県,浜松市,太陽さぎのみやこども園,タイヨウサギノミヤコドモエン,4313113,中央区,浜松市中央区大瀬町752,,34.760677,137.763006,(053)432-5515,（福）若葉会,120,幼保連携型認定こども園,7:00,19:00,7:00,18:00,8:00,16:00,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日",7:00,18:00,"0歳児（6か月から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね1週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,1,0,0,0,0,13,3,1,1,0,0,2025-12-19,
221309,21126,静岡県,浜松市,遊歩の丘かみにしこども園,ユウホノオカカミニシコドモエン,4350048,中央区,浜松市中央区上西町853-2,,34.723329,137.759049,(053)468-1818,（福）一葉会福祉事業団,200,幼保連携型認定こども園,7:00,18:30,7:00,18:00,8:30,16:30,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（6か月から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね1週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,48,21,9,4,0,0,2025-12-19,
221309,21127,静岡県,浜松市,きなりこどもえん,キナリコドモエン,4300803,中央区,浜松市中央区植松町53-4,,34.710358,137.754558,(053)424-6666,（学）鴨江寺学園,120,幼保連携型認定こども園,7:00,19:00,7:00,18:00,8:00,16:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",8:30,16:30,"0歳児（6か月から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね1週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,24,5,6,1,1,0,2025-12-19,
221309,21128,静岡県,浜松市,若宮こども園,ワカミヤコドモエン,4313113,中央区,浜松市中央区大瀬町2050,,34.759125,137.775673,(053)433-2727,（福）遠淡海会,170,幼保連携型認定こども園,7:00,19:00,7:00,18:00,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,10,2,3,0,0,0,2025-12-19,
221309,21129,静岡県,浜松市,蒲こども園,カバコドモエン,4350014,中央区,浜松市中央区大蒲町95-2,,34.715127,137.766585,(053)463-1540,（福）光禅会,120,幼保連携型認定こども園,7:00,18:30,7:00,18:00,8:30,16:30,一時預かり事業（余裕活用型）,"火曜日,木曜日",9:00,16:00,"4歳児,5歳児",おおむね3週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,18,4,7,1,0,0,2025-12-19,
221309,21130,静岡県,浜松市,そらいろこども園,ソライロコドモエン,4350051,中央区,浜松市中央区市野町1084,,34.751169,137.778747,(053)581-8670,（福）青林福祉会,120,幼保連携型認定こども園,7:00,19:00,7:00,18:00,8:00,16:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",7:00,18:00,"0歳児（6か月から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね1週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,13,3,3,0,0,0,2025-12-19,
221309,21131,静岡県,浜松市,ありたまこども園,アリタマコドモエン,4313122,中央区,浜松市中央区有玉南町2013,,34.749551,137.746120,(053)479-5588,（福）太豊会,120,幼保連携型認定こども園,7:00,19:00,7:00,18:00,8:30,16:30,実施していない,,,,,,,,令和8年2月,0,0,0,0,0,0,27,6,5,3,0,0,2025-12-19,
221309,21132,静岡県,浜松市,天竜こども園,テンリュウコドモエン,4350018,中央区,浜松市中央区薬新町315-1,,34.722067,137.785910,(053)421-5355,（福）岡北福祉会,120,幼保連携型認定こども園,7:00,18:30,7:00,18:00,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日",8:30,17:00,"0歳児（10か月から）,1歳児,2歳児,3歳児",おおむね1か月前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,11,3,4,1,0,0,2025-12-19,
