都道府県コード又は市区町村コード,都道府県名,市区町村名,事業所番号,法人名,事業所名,郵便番号,区,所在地,緯度,経度,電話番号,支援区分　障がい者(18歳以上),支援区分　障がい児(18歳未満),備考,NO
221309,静岡県,浜松市,025,社会福祉法人　復泉会,ワークショップくるみ,4328063,中央区,浜松市中央区小沢渡町2923-2,34.671919,137.683480,(053)440-4666,○,,,23
221309,静岡県,浜松市,026,社会福祉法人　恵会,恵松学園,4328064,中央区,浜松市中央区倉松町3643-1,34.670609,137.697128,(053)449-0636,○,,,24
221309,静岡県,浜松市,027,社会福祉法人　あそしえ,生活介護事業所えくらん,4350026,中央区,浜松市中央区金折町807-1,34.688068,137.782788,(053)427-1190,○,○,,25
221309,静岡県,浜松市,028,社会福祉法人　和光会,あさぎり,4311209,中央区,浜松市中央区舘山寺町136,34.760946,137.628091,(053)487-0229,○,○,,26
221309,静岡県,浜松市,029,浜名学園組合,浜名学園,4310303,湖西市,湖西市新居町浜名1855-3,34.686249,137.540260,(053)594-1235,○,○,児童については15歳以上,27
221309,静岡県,浜松市,030,特定非営利活動法人　すだち,ZERO　BASE　三ヶ日,4311404,浜名区,浜松市浜名区三ヶ日町宇志696-11,34.803805,137.557959,(053)524-1202,○,○,,28
221309,静岡県,浜松市,031,社会福祉法人　あそしえ,あぐり,4350026,中央区,浜松市中央区金折町957-2,34.691824,137.782685,(053)544-5488,○,,,29
221309,静岡県,浜松市,032,社会福祉法人　小羊学園,在宅支援センターぱぴるす,4338119,中央区,浜松市中央区高丘北3-38-7,34.767673,137.700674,(053)414-1666,,○,,30
221309,静岡県,浜松市,033,社会福祉法人　聖隷福祉事業団,あさひ,4338558,中央区,浜松市中央区三方原町3453,34.792370,137.691011,(053)437-1467,○,○,,31
221309,静岡県,浜松市,034,社会福祉法人　天竜厚生会,美浜,4313423,天竜区,浜松市天竜区渡ヶ島215-6,34.856330,137.795003,(053)583-1139,○,○,,32
221309,静岡県,浜松市,036,特定非営利活動法人　クリエイティブサポートレッツ,アルス・ノヴァ,4300939,中央区,浜松市中央区連尺町314-30,34.706909,137.728376,(053)451-1355,○,,,33
221309,静岡県,浜松市,037,社会福祉法人　小羊学園,ドルチェ,4328058,中央区,浜松市中央区新橋町1175,34.681355,137.708298,(053)401-6166,,○,,34
221309,静岡県,浜松市,038,特定非営利活動法人　みんなの家,ワーキングサークル,4313122,中央区,浜松市中央区有玉南町2015-1,34.749851,137.746155,(053)522-7770,○,,,35
221309,静岡県,浜松市,041,合同会社リアン,リアンピース,4340002,浜名区,浜松市浜名区尾野2276-10,34.831487,137.787220,(053)582-2255,,○,,36
221309,静岡県,浜松市,042,社会福祉法人　小羊学園,ぱるしあ,4311102,中央区,浜松市中央区大山町4149-3,34.784481,137.696306,(053)415-9968,,○,,37
221309,静岡県,浜松市,043,株式会社インセック,ここあ,4300913,中央区,浜松市中央区船越町34-12,34.718751,137.747258,(053)460-5788,,○,,38
221309,静岡県,浜松市,044,社会福祉法人　ひかりの園,工房ゆう,4311112,中央区,浜松市中央区大人見町3419-5,34.736222,137.661705,(053)570-1310,○,○,,39
221309,静岡県,浜松市,046,合同会社花音,カノン,4311202,中央区,浜松市中央区呉松町3626-2,34.767371,137.642229,(053)543-9066,○,,,40
221309,静岡県,浜松市,047,有限会社齋藤居宅介護支援事業所,さいとうさんち,4380202,磐田市,磐田市高木180-5,34.696245,137.808916,(0538)67-1700,○,○,,41
221309,静岡県,浜松市,048,社会福祉法人　聖隷福祉事業団,浜北愛光園,4340023,浜名区,浜松市浜名区高薗208-2,34.786238,137.812008,(053)584-0700,○,○,,42
221309,静岡県,浜松市,049,社会福祉法人　小羊学園,小羊デイケアホーム,4338108,中央区,浜松市中央区根洗町754-2,34.792350,137.695058,(053)438-1498,○,,,43
221309,静岡県,浜松市,052,特定非営利活動法人　みんなの家,みんなの家　みゆき,4338101,中央区,浜松市中央区三幸町271-5,34.800962,137.724217,(053)528-7010,○,○,,44
221309,静岡県,浜松市,053,株式会社Gree,グリーピースⅡ・Nursery,4340043,浜名区,浜松市浜名区中条434-1　2F,34.782259,137.785547,(053)544-7900,,○,,45
221309,静岡県,浜松市,054,特定非営利活動法人　Harmony,それあ～ど,4340034,浜名区,浜松市浜名区高畑804-1,34.795973,137.798446,(053)568-7780,○,○,,46
221309,静岡県,浜松市,058,一般社団法人　ほっぷ,すてっぷ浜松,4328061,中央区,浜松市中央区入野町9093,34.700141,137.679264,(053)489-6855,○,,,47
221309,静岡県,浜松市,059,合同会社Connectoday,日中一時支援ぽかぽか,4350055,中央区,浜松市中央区十軒町684-2,34.728156,137.747815,(053)569-5227,,○,,48
221309,静岡県,浜松市,060,特定非営利活動法人　サンサンいわた,サンサンいわた（あゆみ）,4380232,磐田市,磐田市川袋700-2,34.678099,137.804346,(0538)66-6354,○,,,49
221309,静岡県,浜松市,061,特定非営利活動法人　サンサンいわた,サンサンいわた（くすの木）,4380822,磐田市,磐田市上本郷1009-1,34.712050,137.818327,(0538)33-5130,○,,,50
221309,静岡県,浜松市,063,一般社団法人　孝・愛,あべりあ,4311304,浜名区,浜松市浜名区細江町中川7172-93,34.792203,137.678327,(053)488-7803,○,○,,51
221309,静岡県,浜松市,064,社会福祉法人　天竜厚生会,やまぼうし,4340012,浜名区,浜松市浜名区中瀬2308,34.830039,137.809337,(053)545-7580,,○,,52
221309,静岡県,浜松市,065,株式会社明日葉,ソレイユ,4413112,豊橋市,豊橋市東細谷町字一里山300-3,34.700607,137.487481,(0532)41-5600,○,○,,53
221309,静岡県,浜松市,066,社会福祉法人　聖隷福祉事業団,聖隷こども発達支援事業所かるみあ富丘,4380803,磐田市,磐田市富丘677-1,34.730742,137.843185,(0538)36-0606,,○,,54
221309,静岡県,浜松市,067,一般社団法人　浜松児童福祉会,はぐくみの家,4338111,中央区,浜松市中央区葵西2-19-55,34.770936,137.710804,(053)489-4488,○,○,,55
221309,静岡県,浜松市,068,一般社団法人　浜松児童福祉会,はぐくみの家ココ,4338105,中央区,浜松市中央区三方原町1044-1,34.776497,137.706714,(053)401-2133,,○,,56
221309,静岡県,浜松市,070,社会福祉法人　豊橋市福祉事業会,豊橋ゆたか学園,4400845,豊橋市,豊橋市高師町字北原1-104,34.741308,137.412739,(0532)62-0112,,○,,57
221309,静岡県,浜松市,071,Anchor株式会社,グリーピースMap,4340043,浜名区,浜松市浜名区中条484-1　1F,34.782599,137.786077,(053)424-9988,,○,,58
221309,静岡県,浜松市,073,有限会社　ワイ・エイチ企画,小規模多機能型居宅介護サンシティあらい,4310302,湖西市,湖西市新居町新居117-3,34.688611,137.570405,(053)595-0888,○,,,59
221309,静岡県,浜松市,074,社会福祉法人　磐田厚生会,おおふじ学園,4380002,磐田市,磐田市大久保204-1,34.763937,137.847006,(0538)38-2278,○,○,,60
221309,静岡県,浜松市,075,株式会社　Ten　Ten,ぽかぽか3rd,4310214,中央区,浜松市中央区舞阪町弁天島3631,34.695414,137.598345,(053)571-1010,,○,,61
221309,静岡県,浜松市,076,株式会社　カリー,アヤメ,4313107,中央区,浜松市中央区笠井町148-4,34.770532,137.799323,(053)443-7461,○,○,,62
221309,静岡県,浜松市,077,一般社団法人　共生の家,日中一時支援事業所風の園,4310102,中央区,浜松市中央区雄踏町宇布見9587,34.694421,137.636143,(053)597-2570,,○,,63
221309,静岡県,浜松市,078,社会福祉法人　あそしえ,あんさんぶる,4350052,中央区,浜松市中央区天王町1832-1,34.739900,137.768676,(053)424-8225,○,○,,64
221309,静岡県,浜松市,079,合同会社　元気いっぱい夢いっぱい,多機能型通所事務所ひぽぽ,4350014,中央区,浜松市中央区大蒲町120-1,34.715358,137.769098,(053)463-6310,,○,,65
221309,静岡県,浜松市,080,株式会社　千晴,自立する未来の創造　こころ,4350034,中央区,浜松市中央区安松町3-1,34.692269,137.769157,(053)582-6577,○,○,,66
221309,静岡県,浜松市,081,"特定非営利活動法人 もくせいの家",もくせいの家ほうらい,4411634,新城市,新城市長篠字丸井5番地の2,34.938326,137.576177,(0536)32-3930,○,,,67
